xflr5 v6.61

 Calculated polar for: NACA 2412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -8.000,-0.6541, 0.01207, 0.00661,-0.0535,0.9833,0.0267,-4.4197, 0.0000, 0.0000, 0.0000, 0.1590
 -7.500,-0.5855, 0.01102, 0.00551,-0.0566,0.9805,0.0315,-3.9517, 0.0000, 0.0000, 0.0000, 0.1442
 -7.000,-0.5262, 0.01049, 0.00495,-0.0574,0.9713,0.0355,-3.5133, 0.0000, 0.0000, 0.0000, 0.1321
 -6.500,-0.4662, 0.00981, 0.00425,-0.0583,0.9628,0.0416,-3.1237, 0.0000, 0.0000, 0.0000, 0.1163
 -6.000,-0.4129, 0.00940, 0.00382,-0.0576,0.9502,0.0469,-2.8034, 0.0000, 0.0000, 0.0000, 0.1020
 -5.500,-0.3592, 0.00887, 0.00332,-0.0570,0.9366,0.0575,-2.4965, 0.0000, 0.0000, 0.0000, 0.0827
 -5.000,-0.3052, 0.00846, 0.00290,-0.0564,0.9209,0.0710,-2.1948, 0.0000, 0.0000, 0.0000, 0.0564
 -4.500,-0.2511, 0.00809, 0.00255,-0.0559,0.9036,0.0880,-1.9069, 0.0000, 0.0000, 0.0000, 0.0183
 -4.000,-0.1968, 0.00770, 0.00224,-0.0554,0.8835,0.1139,-1.6376, 0.0000, 0.0000, 0.0000,-0.0414
 -3.500,-0.1421, 0.00736, 0.00197,-0.0550,0.8621,0.1482,-1.4120, 0.0000, 0.0000, 0.0000,-0.1485
 -3.000,-0.0874, 0.00707, 0.00174,-0.0547,0.8374,0.1871,-1.1971, 0.0000, 0.0000, 0.0000,-0.3906
 -2.500,-0.0326, 0.00679, 0.00156,-0.0543,0.8112,0.2376,-0.9999, 0.0000, 0.0000, 0.0000,-1.4485
 -2.000, 0.0222, 0.00656, 0.00142,-0.0540,0.7818,0.2940,-0.8325, 0.0000, 0.0000, 0.0000, 2.7197
 -1.500, 0.0767, 0.00633, 0.00130,-0.0536,0.7506,0.3622,-0.6806, 0.0000, 0.0000, 0.0000, 0.9559
 -1.000, 0.1305, 0.00606, 0.00122,-0.0532,0.7178,0.4592,-0.5494, 0.0000, 0.0000, 0.0000, 0.6595
 -0.500, 0.1838, 0.00580, 0.00120,-0.0526,0.6834,0.5752,-0.5235, 0.0000, 0.0000, 0.0000, 0.5363
  0.000, 0.2373, 0.00562, 0.00122,-0.0520,0.6504,0.6782,-0.5673, 0.0000, 0.0000, 0.0000, 0.4680
  0.500, 0.2902, 0.00550, 0.00128,-0.0512,0.6174,0.7720,-0.6143, 0.0000, 0.0000, 0.0000, 0.4243
  1.000, 0.3418, 0.00544, 0.00139,-0.0499,0.5852,0.8587,-0.6650, 0.0000, 0.0000, 0.0000, 0.3933
  1.500, 0.3930, 0.00553, 0.00152,-0.0484,0.5545,0.9262,-0.7213, 0.0000, 0.0000, 0.0000, 0.3699
  2.000, 0.4506, 0.00574, 0.00167,-0.0484,0.5245,0.9662,-0.7900, 0.0000, 0.0000, 0.0000, 0.3537
  2.500, 0.5189, 0.00600, 0.00181,-0.0510,0.4945,0.9850,-0.8829, 0.0000, 0.0000, 0.0000, 0.3442
  3.000, 0.5922, 0.00629, 0.00196,-0.0548,0.4631,0.9941,-1.0123, 0.0000, 0.0000, 0.0000, 0.3381
  3.500, 0.6674, 0.00662, 0.00213,-0.0592,0.4284,1.0000,-1.1803, 0.0000, 0.0000, 0.0000, 0.3339
  4.000, 0.7151, 0.00692, 0.00230,-0.0575,0.3948,1.0000,-1.3421, 0.0000, 0.0000, 0.0000, 0.3252
  4.500, 0.7631, 0.00724, 0.00250,-0.0559,0.3589,1.0000,-1.5288, 0.0000, 0.0000, 0.0000, 0.3176
  5.000, 0.8097, 0.00773, 0.00277,-0.0542,0.3126,1.0000,-1.7292, 0.0000, 0.0000, 0.0000, 0.3108
  5.500, 0.8559, 0.00833, 0.00315,-0.0524,0.2618,1.0000,-1.9510, 0.0000, 0.0000, 0.0000, 0.3046
  6.000, 0.9022, 0.00902, 0.00359,-0.0507,0.2101,1.0000,-2.2035, 0.0000, 0.0000, 0.0000, 0.2991
  7.000, 0.9942, 0.01069, 0.00475,-0.0475,0.1152,1.0000,-2.7314, 0.0000, 0.0000, 0.0000, 0.2896
  7.500, 1.0408, 0.01151, 0.00542,-0.0461,0.0853,1.0000,-3.0424, 0.0000, 0.0000, 0.0000, 0.2855
  8.000, 1.0875, 0.01230, 0.00609,-0.0447,0.0655,1.0000,-3.3844, 0.0000, 0.0000, 0.0000, 0.2817
  8.500, 1.1334, 0.01313, 0.00683,-0.0432,0.0505,1.0000,-3.7350, 0.0000, 0.0000, 0.0000, 0.2781
  9.000, 1.1795, 0.01389, 0.00757,-0.0418,0.0418,1.0000,-4.0984, 0.0000, 0.0000, 0.0000, 0.2747
  9.500, 1.2240, 0.01474, 0.00845,-0.0401,0.0351,1.0000,-4.4621, 0.0000, 0.0000, 0.0000, 0.2714
 10.000, 1.2670, 0.01563, 0.00933,-0.0383,0.0305,1.0000,-4.8356, 0.0000, 0.0000, 0.0000, 0.2681
 10.500, 1.3063, 0.01672, 0.01049,-0.0359,0.0265,1.0000,-5.1941, 0.0000, 0.0000, 0.0000, 0.2647
 11.000, 1.3470, 0.01758, 0.01142,-0.0337,0.0245,1.0000,-5.5791, 0.0000, 0.0000, 0.0000, 0.2615
 11.500, 1.3794, 0.01870, 0.01258,-0.0303,0.0220,1.0000,-5.9580, 0.0000, 0.0000, 0.0000, 0.2577
 12.000, 1.3959, 0.02071, 0.01476,-0.0248,0.0189,1.0000,-6.2818, 0.0000, 0.0000, 0.0000, 0.2527


